state,E_ex,osc,nm
1,3.0292,0.0015,409.2968209
2,3.2567,0.0124,380.7049866
3,3.3556,0.0087,369.4844231
4,3.5211,0.0027,352.1177842
5,3.6106,0.0033,343.389445
6,3.6619,0.0008,338.5788607
7,3.7431,0.0021,331.2339852
8,3.7818,0.0151,327.8443942
9,3.8391,0.0024,322.9511943
10,3.8781,0.0006,319.703445
11,3.9135,0.0058,316.8115319
12,4.0104,0.0018,309.1566751
13,4.2385,0.0381,292.519035
14,4.3168,0.0036,287.2131973
15,4.4257,0.0036,280.1459498
16,4.4599,0.02,277.9976973
17,4.5044,0.0045,275.2512943
18,4.5595,0.0032,271.9249764
19,4.6216,0.0039,268.2711464
20,4.655,0.0046,266.3462793
21,4.6858,0.0144,264.5955717
22,4.7198,0.0018,262.6895059
23,4.7417,0.0132,261.476249
24,4.7464,0.0445,261.2173289
25,4.7989,0.0019,258.3596095
26,4.8406,0.0081,256.1339359
27,4.8646,0.0096,254.870273
28,4.9013,0.0017,252.961853
29,4.9344,0.0233,251.2649826
30,4.9929,0.0075,248.3210018
31,5.012,0.0011,247.3746868
32,5.0685,0.003,244.6171313
33,5.0892,0.0024,243.6221665
34,5.1473,0.0009,240.8722884
35,5.1502,0.03,240.7366568
36,5.1898,0.0031,238.8997514
37,5.2014,0.0021,238.3669647
38,5.2242,0.0195,237.3266586
39,5.2365,0.0029,236.7692027
40,5.2417,0.0172,236.5343171
41,5.2575,0.0007,235.8234769
42,5.2903,0.0026,234.3613651
43,5.3072,0.003,233.6150757
44,5.3115,0.0028,233.4259494
45,5.3184,0.0052,233.1231066
46,5.34,0.0001,232.1801367
47,5.3732,0.0341,230.745539
48,5.381,0.0003,230.411063
49,5.3943,0.0386,229.8429694
50,5.4308,0.0095,228.298212
51,5.4555,0.0244,227.2645825
52,5.4678,0.0104,226.7533432
53,5.4731,0.0038,226.5337615
54,5.4855,0.0671,226.0216808
55,5.5158,0.0147,224.7800736
56,5.5548,0.0146,223.2019029
57,5.5828,0.0037,222.082455
58,5.6018,0.0033,221.3292031
59,5.6528,0.0006,219.3323539
60,5.6915,0.0108,217.8409787
61,5.7009,0.0086,217.4817888
62,5.7284,0.0165,216.4377365
63,5.736,0.017,216.1509641
64,5.7599,0.0102,215.2540721
65,5.7816,0.0001,214.446162
66,5.7837,0.0025,214.3682988
67,5.8219,0.0102,212.9617359
68,5.837,0.0017,212.4108155
69,5.8418,0.0023,212.236285
70,5.86,0.0068,211.5771212
71,5.9072,0.0052,209.8865672
72,5.9136,0.0001,209.6594173
73,5.9227,0.0151,209.3372837
74,5.935,0.0031,208.9034423
75,5.9806,0.0009,207.310626
76,5.9883,0.0552,207.0440576
77,6.0213,0.0626,205.9093435
78,6.0372,0.0281,205.367046
79,6.0919,0.0008,203.5230273
80,6.1098,0.0062,202.9267619
81,6.1268,0.0065,202.3637021
82,6.1625,0.0176,201.1913882
83,6.1892,0.0019,200.3234554
84,6.1981,0.0054,200.0358061
85,6.2063,0.0031,199.7715112
86,6.219,0.003,199.363552
87,6.2936,0.0063,197.0004338
88,6.3135,0.0024,196.3794931
89,6.3339,0.0525,195.7470011
90,6.351,0.0028,195.2199543
91,6.3873,0.0149,194.1104896
92,6.3964,0.0022,193.8343334
93,6.4208,0.0026,193.0977339
94,6.4314,0.0032,192.7794773
95,6.477,0.0008,191.4222526
96,6.5022,0.0011,190.6803743
97,6.5143,0.001,190.3261947
98,6.5509,0.0016,189.2628387
99,6.5683,0.012,188.7614649
100,6.5921,0.0016,188.0799639
