state,E_ex,osc,nm
1,3.0431,0.0034,407.4272715
2,3.145,0.0053,394.2263688
3,3.2196,0.0152,385.0919151
4,3.453,0.0027,359.0622444
5,3.6599,0.0031,338.7638815
6,3.6957,0.0104,335.4822983
7,3.7593,0.019,329.8065943
8,3.8144,0.0064,325.0424523
9,3.8963,0.0046,318.2100788
10,3.9872,0.0005,310.9555402
11,4.0679,0.0015,304.7867278
12,4.1453,0.0012,299.0958266
13,4.3098,0.0384,287.6796905
14,4.3888,0.0008,282.5013512
15,4.4567,0.0019,278.1973052
16,4.5241,0.0098,274.0527243
17,4.5756,0.0062,270.9681637
18,4.6593,0.0028,266.1004722
19,4.6655,0.0023,265.7468503
20,4.7128,0.0106,263.079683
21,4.7653,0.0073,260.181296
22,4.8586,0.001,255.1850183
23,4.9106,0.0305,252.4827781
24,4.9164,0.0182,252.1849178
25,4.9566,0.0001,250.1395977
26,4.9788,0.0076,249.0242488
27,5.0081,0.0036,247.5673269
28,5.0274,0.0277,246.6169252
29,5.0518,0.028,245.425775
30,5.0933,0.0005,243.4260558
31,5.1076,0.0155,242.7445238
32,5.1239,0.0082,241.9723121
33,5.1779,0.0007,239.4487978
34,5.2006,0.0013,238.4036323
35,5.2045,0.0004,238.2249841
36,5.2261,0.0003,237.2403762
37,5.2508,0.0022,236.1243868
38,5.2721,0.0028,235.1704122
39,5.2992,0.0255,233.9677555
40,5.304,0.0001,233.75602
41,5.3159,0.0034,233.2327414
42,5.3683,0.0074,230.9561556
43,5.378,0.021,230.5395928
44,5.3866,0.002,230.1715238
45,5.3967,0.001,229.7407545
46,5.4165,0.0055,228.9009379
47,5.4631,0.0178,226.9484231
48,5.4735,0.0402,226.5172065
49,5.5393,0.0405,223.8264636
50,5.5428,0.0101,223.6851285
51,5.557,0.162,223.1135379
52,5.573,0.0004,222.4729822
53,5.5813,0.0004,222.1421407
54,5.6403,0.0039,219.818437
55,5.6547,0.0004,219.2586574
56,5.6797,0.0129,218.2935595
57,5.718,0.0054,216.8313973
58,5.7309,0.0127,216.3433195
59,5.7522,0.0061,215.5422152
60,5.7556,0.0151,215.4148881
61,5.7673,0.0121,214.9778805
62,5.7804,0.0106,214.4906806
63,5.7899,0.0041,214.1387468
64,5.7943,0.0003,213.9761369
65,5.8521,0.0159,211.8627382
66,5.8531,0.0012,211.8265415
67,5.8904,0.0517,210.4851844
68,5.9149,0.0179,209.6133375
69,5.9386,0.0007,208.7768043
70,5.9481,0.0061,208.4433567
71,5.9828,0.0206,207.2343936
72,6.0021,0.0069,206.5680229
73,6.0537,0.0005,204.8072964
74,6.0645,0.0064,204.4425641
75,6.0706,0.0006,204.2371314
76,6.1379,0.0171,201.9977403
77,6.1441,0.0173,201.7939047
78,6.1676,0.0038,201.0250227
79,6.1987,0.0017,200.0164438
80,6.2167,0.003,199.4373108
81,6.2541,0.0014,198.2446603
82,6.2601,0.001,198.0546525
83,6.2964,0.028,196.912828
84,6.3083,0.0034,196.5413709
85,6.3268,0.0041,195.9666704
86,6.3412,0.0008,195.5216568
87,6.3473,0.0011,195.3337529
88,6.3657,0.0007,194.7691424
89,6.3969,0.0062,193.8191827
90,6.4343,0.0019,192.6925897
91,6.4513,0.0013,192.1848201
92,6.4561,0.0039,192.041934
93,6.4677,0.0007,191.6975014
94,6.4735,0.0009,191.525748
95,6.4817,0.0019,191.2834488
96,6.4999,0.008,190.7478469
97,6.5256,0.0092,189.9966179
98,6.5371,0.0021,189.6623778
99,6.5411,0.0192,189.5463959
100,6.5584,0.0027,189.0464031
